lon,lat,elev,time
-74.0783081055,4.6509594917,2604,11:21:04
-74.0782623291,4.6510548592,2594,11:21:06
-74.0782165527,4.6512036324,2572,11:21:14
-74.0781860352,4.651330471,2565,11:21:18
-74.0781784058,4.6514558792,2566,11:21:24
-74.0781784058,4.6514558792,2566,11:21:26
-74.0781784058,4.6514558792,2566,11:21:28
-74.0781555176,4.6517424583,2567,11:21:34
-74.0781402588,4.6518387794,2567,11:21:38
-74.0781402588,4.6518387794,2567,11:21:40
-74.0781402588,4.6518387794,2567,11:21:42
-74.0781402588,4.6518387794,2567,11:21:44
-74.0781402588,4.6518387794,2567,11:21:46
-74.0781402588,4.6518387794,2567,11:21:48
-74.0781402588,4.6518387794,2567,11:21:50
-74.0781402588,4.6518387794,2567,11:21:52
-74.0781402588,4.6518387794,2567,11:21:54
-74.0781402588,4.6518387794,2567,11:21:56
-74.0781402588,4.6518387794,2567,11:21:58
-74.0781402588,4.6518387794,2567,11:22:00
-74.0781402588,4.6518387794,2567,11:22:02
-74.0781402588,4.6518387794,2567,11:22:04
-74.0781402588,4.6518387794,2567,11:22:06
-74.0781402588,4.6518387794,2567,11:22:08
-74.0781402588,4.6518387794,2567,11:22:10
-74.0781402588,4.6518387794,2567,11:22:12
-74.0781402588,4.6518387794,2567,11:22:14
-74.0781402588,4.6518387794,2567,11:22:16
-74.0781402588,4.6518387794,2567,11:22:18
-74.0781402588,4.6518387794,2567,11:22:20
-74.0781402588,4.6518387794,2567,11:22:22
-74.0781402588,4.6518387794,2567,11:22:24
-74.0781402588,4.6518387794,2567,11:22:26
-74.0781402588,4.6518387794,2567,11:22:28
-74.0781402588,4.6518387794,2567,11:22:30
-74.0781402588,4.6518387794,2567,11:22:32
-74.0781402588,4.6518387794,2567,11:22:34
-74.0785064697,4.6518673897,2567,11:22:38
-74.0786972046,4.6519007683,2567,11:22:40
-74.0788040161,4.6519322395,2567,11:22:42
-74.0788497925,4.6519589424,2567,11:22:44
-74.0788497925,4.6519589424,2567,11:22:54
-74.0788497925,4.6519589424,2567,11:22:56
-74.0788497925,4.6519589424,2567,11:22:58
-74.0788497925,4.6519589424,2567,11:23:02
-74.0788497925,4.6519589424,2567,11:23:04
-74.0790481567,4.6521253586,2567,11:23:07
-74.0791778564,4.6522216797,2567,11:23:09
-74.0792694092,4.6522841454,2568,11:23:11
-74.0793457031,4.6523275375,2568,11:23:13
-74.0794143677,4.6523590088,2568,11:23:15
-74.0795440674,4.6524004936,2568,11:23:17
-74.0797119141,4.6524171829,2569,11:23:23
-74.0798187256,4.6524338722,2570,11:23:27
-74.0799789429,4.6524529457,2571,11:23:32
-74.0799789429,4.6524529457,2571,11:23:34
-74.0799789429,4.6524529457,2571,11:23:37
-74.0799789429,4.6524529457,2571,11:23:40
-74.0799789429,4.6524529457,2571,11:23:42
-74.0799789429,4.6524529457,2571,11:23:44
-74.0803833008,4.6524853706,2574,11:23:48
-74.0804901123,4.6524939537,2574,11:23:52
-74.0806045532,4.6525015831,2574,11:23:56
-74.0807495117,4.6525335312,2574,11:24:00
-74.0807495117,4.6525335312,2574,11:24:03
-74.0807495117,4.6525335312,2574,11:24:05
-74.0807495117,4.6525335312,2574,11:24:07
-74.0807495117,4.6525335312,2574,11:24:09
-74.0807495117,4.6525335312,2574,11:24:11
-74.0807495117,4.6525335312,2574,11:24:13
-74.0807495117,4.6525335312,2574,11:24:15
-74.0807495117,4.6525335312,2574,11:24:17
-74.0811538696,4.6526913643,2575,11:24:23
-74.0813140869,4.6527175903,2576,11:24:29
-74.081413269,4.6527400017,2576,11:24:33
-74.081413269,4.6527400017,2576,11:24:37
-74.081413269,4.6527400017,2576,11:24:39
-74.081413269,4.6527400017,2576,11:24:41
-74.081413269,4.6527400017,2576,11:24:43
-74.081413269,4.6527400017,2576,11:24:45
-74.081413269,4.6527400017,2576,11:24:47
-74.081413269,4.6527400017,2576,11:24:49
-74.081413269,4.6527400017,2576,11:24:51
-74.081413269,4.6527400017,2576,11:24:53
-74.081413269,4.6527400017,2576,11:24:55
-74.081413269,4.6527400017,2576,11:24:57
-74.081413269,4.6527400017,2576,11:24:59
-74.0817565918,4.6528153419,2575,11:25:03
-74.0819473267,4.6528601646,2575,11:25:05
-74.0820617676,4.6528930664,2575,11:25:07
-74.0821609497,4.6529211998,2575,11:25:09
-74.0822296143,4.6529426575,2575,11:25:11
-74.082359314,4.6529898643,2575,11:25:13
-74.082359314,4.6529898643,2575,11:25:15
-74.082359314,4.6529898643,2575,11:25:18
-74.082359314,4.6529898643,2575,11:25:20
-74.082359314,4.6529898643,2575,11:25:22
-74.082359314,4.6529898643,2575,11:25:24
-74.082359314,4.6529898643,2575,11:25:26
-74.082359314,4.6529898643,2575,11:25:28
-74.082359314,4.6529898643,2575,11:25:30
-74.082359314,4.6529898643,2575,11:25:32
-74.0823440552,4.6533141136,2578,11:25:41
-74.0823440552,4.6533141136,2578,11:25:43
-74.0823440552,4.6533141136,2578,11:25:45
-74.0823440552,4.6533141136,2578,11:25:47
-74.0822143555,4.6533756256,2577,11:25:50
-74.0821075439,4.6534132957,2577,11:25:54
-74.0820159912,4.6534371376,2576,11:25:58
-74.0818862915,4.6534409523,2575,11:26:04
-74.0817947388,4.6534309387,2574,11:26:08
-74.0814743042,4.6533670425,2573,11:26:22
-74.0813751221,4.6533641815,2573,11:26:25
-74.0812454224,4.6533823013,2572,11:26:30
-74.0811309814,4.653424263,2572,11:26:36
-74.0810775757,4.6534929276,2572,11:26:39
-74.0810775757,4.6534929276,2572,11:26:41
-74.0810775757,4.6534929276,2572,11:26:43
-74.0810775757,4.6534929276,2572,11:26:45
-74.0810470581,4.6536593437,2571,11:26:47
-74.0810089111,4.6536903381,2570,11:26:53
-74.0809631348,4.6537194252,2570,11:26:55
-74.0809631348,4.6537194252,2570,11:26:57
-74.0809631348,4.6537194252,2570,11:26:59
-74.0809631348,4.6537194252,2570,11:27:01
-74.0809631348,4.6537194252,2570,11:27:03
-74.0808105469,4.6538476944,2568,11:27:09
-74.0807113647,4.6539244652,2567,11:27:11
-74.0806503296,4.6539874077,2567,11:27:13
-74.0806045532,4.6540474892,2567,11:27:15
-74.0805664063,4.6541013718,2567,11:27:17
-74.0804977417,4.6542034149,2567,11:27:19
-74.0804443359,4.6543087959,2567,11:27:23
-74.0803833008,4.6543979645,2567,11:27:27
-74.080329895,4.6544647217,2568,11:27:31
-74.080329895,4.6544647217,2568,11:27:33
-74.080329895,4.6544647217,2568,11:27:35
-74.080329895,4.6544647217,2568,11:27:37
-74.080329895,4.6544647217,2568,11:27:39
-74.0801620483,4.6547193527,2568,11:27:43
-74.080116272,4.6548337936,2568,11:27:47
-74.0800704956,4.6549134254,2569,11:27:51
-74.0800704956,4.6549134254,2569,11:27:53
-74.0800704956,4.6549134254,2569,11:27:55
-74.0800704956,4.6549134254,2569,11:27:57
-74.0800704956,4.6549134254,2569,11:27:59
-74.0799407959,4.6552295685,2569,11:28:05
-74.0799026489,4.6553087234,2569,11:28:09
-74.0799026489,4.6553087234,2569,11:28:11
-74.0799026489,4.6553087234,2569,11:28:13
-74.0799026489,4.6553087234,2569,11:28:15
-74.0799026489,4.6553087234,2569,11:28:17
-74.0797653198,4.6556386948,2567,11:28:23
-74.0797271729,4.6557478905,2567,11:28:27
-74.0796890259,4.6558394432,2566,11:28:31
-74.0796585083,4.6559343338,2566,11:28:35
-74.0796585083,4.6559343338,2566,11:28:37
-74.0796585083,4.6559343338,2566,11:28:39
-74.0796585083,4.6559343338,2566,11:28:41
-74.0796585083,4.6559343338,2566,11:28:43
-74.0796585083,4.6559343338,2566,11:28:45
-74.0796203613,4.6561055183,2565,11:28:49
-74.0795898438,4.6562151909,2565,11:28:51
-74.0795593262,4.6562914848,2565,11:28:53
-74.0795288086,4.656355381,2565,11:28:55
-74.079498291,4.6564087868,2565,11:28:57
-74.0794372559,4.6564903259,2565,11:28:59
-74.0794372559,4.6564903259,2565,11:29:01
-74.0794372559,4.6564903259,2565,11:29:03
-74.0794372559,4.6564903259,2565,11:29:05
-74.0794372559,4.6564903259,2565,11:29:07
-74.0792922974,4.6567850113,2566,11:29:11
-74.0792312622,4.6568808556,2566,11:29:15
-74.0792312622,4.6568808556,2566,11:29:17
-74.0791854858,4.6569719315,2566,11:29:19
-74.0791397095,4.6570653915,2566,11:29:23
-74.0791397095,4.6570653915,2566,11:29:27
-74.0791397095,4.6570653915,2566,11:29:29
-74.0791397095,4.6570653915,2566,11:29:31
-74.0791397095,4.6570653915,2566,11:29:33
-74.0791397095,4.6570653915,2566,11:29:35
-74.0791397095,4.6570653915,2566,11:29:37
-74.0791397095,4.6570653915,2566,11:29:39
-74.0791397095,4.6570653915,2566,11:29:41
-74.0791397095,4.6570653915,2566,11:29:43
-74.0791397095,4.6570653915,2566,11:29:45
-74.0791397095,4.6570653915,2566,11:29:47
-74.0791397095,4.6570653915,2566,11:29:49
-74.0791397095,4.6570653915,2566,11:29:51
-74.0791397095,4.6570653915,2566,11:29:53
-74.0798721313,4.6573848724,2568,11:29:57
-74.0799789429,4.6573791504,2568,11:30:01
-74.0800704956,4.6573696136,2568,11:30:05
-74.0800704956,4.6573696136,2568,11:30:07
-74.0800704956,4.6573696136,2568,11:30:09
-74.0800704956,4.6573696136,2568,11:30:11
-74.0800704956,4.6573696136,2568,11:30:13
-74.0800704956,4.6573696136,2568,11:30:15
-74.0800704956,4.6573696136,2568,11:30:17
-74.0802688599,4.6573224068,2569,11:30:21
-74.0803909302,4.657286644,2570,11:30:23
-74.0804748535,4.6572594643,2570,11:30:25
-74.0805435181,4.6572341919,2570,11:30:27
-74.0805435181,4.6572341919,2570,11:30:29
-74.0805435181,4.6572341919,2570,11:30:31
-74.0805435181,4.6572341919,2570,11:30:33
-74.0806884766,4.6571292877,2570,11:30:39
-74.0807571411,4.6570525169,2569,11:30:41
-74.0807876587,4.656993866,2568,11:30:43
-74.0808029175,4.6569433212,2568,11:30:45
-74.0808105469,4.6568984985,2567,11:30:47
-74.0808105469,4.6568078995,2567,11:30:49
-74.0808105469,4.6568078995,2567,11:30:51
-74.0808105469,4.6568078995,2567,11:30:53
-74.0807571411,4.6566548347,2565,11:30:55
-74.0806884766,4.6565451622,2564,11:31:01
-74.0806045532,4.6564769745,2563,11:31:05
-74.0805358887,4.6564068794,2563,11:31:09
-74.0805664063,4.6562809944,2562,11:31:15
-74.0805664063,4.6562809944,2562,11:31:17
-74.0805664063,4.6562809944,2562,11:31:19
-74.0805664063,4.6562809944,2562,11:31:21
-74.0805664063,4.6562809944,2562,11:31:23
-74.0805664063,4.6562809944,2562,11:31:25
-74.0809173584,4.6561541557,2562,11:31:29
-74.0810012817,4.6560959816,2562,11:31:33
-74.0810546875,4.6560063362,2562,11:31:37
-74.0810546875,4.6560063362,2562,11:31:39
-74.0810546875,4.6560063362,2562,11:31:41
-74.0810546875,4.6560063362,2562,11:31:43
-74.0810546875,4.6560063362,2562,11:31:45
-74.0810546875,4.6560063362,2562,11:31:47
-74.0810546875,4.6560063362,2562,11:31:49
-74.0810546875,4.6560063362,2562,11:31:51
-74.0810546875,4.6560063362,2562,11:31:53
-74.0810546875,4.6560063362,2562,11:31:55
-74.0810546875,4.6560063362,2562,11:31:57
-74.0810546875,4.6560063362,2562,11:31:59
-74.0810546875,4.6560063362,2562,11:32:01
-74.0810546875,4.6560063362,2562,11:32:03
-74.0813751221,4.6559052467,2567,11:32:07
-74.0815582275,4.6558585167,2567,11:32:09
-74.0816726685,4.6558337212,2567,11:32:11
-74.0817642212,4.6558170319,2567,11:32:13
-74.0818328857,4.6558027267,2567,11:32:15
-74.0819473267,4.6557612419,2567,11:32:17
-74.0820236206,4.655684948,2568,11:32:21
-74.0820922852,4.6555929184,2568,11:32:25
-74.0821762085,4.6555013657,2568,11:32:29
-74.0822525024,4.6553993225,2568,11:32:33
-74.082321167,4.6553039551,2568,11:32:37
-74.0823745728,4.6552333832,2568,11:32:41
-74.0823745728,4.6552333832,2568,11:32:43
-74.0823745728,4.6552333832,2568,11:32:45
-74.0823745728,4.6552333832,2568,11:32:47
-74.0823745728,4.6552333832,2568,11:32:49
-74.0823745728,4.6552333832,2568,11:32:51
-74.0823745728,4.6552333832,2568,11:32:55
-74.0823745728,4.6552333832,2568,11:32:57
-74.0823745728,4.6552333832,2568,11:32:59
-74.082572937,4.6546802521,2568,11:33:03
-74.0826034546,4.6545681953,2568,11:33:07
-74.0826187134,4.6544780731,2567,11:33:11
-74.0826263428,4.6543712616,2568,11:33:15
-74.0826034546,4.6542701721,2568,11:33:19
-74.0826034546,4.6542701721,2568,11:33:21
-74.0826034546,4.6542701721,2568,11:33:23
-74.0826034546,4.6542701721,2568,11:33:25
-74.0825271606,4.6539506912,2568,11:33:31
-74.0825271606,4.6539506912,2568,11:33:37
-74.0825271606,4.6539506912,2568,11:33:39
-74.0825271606,4.6539506912,2568,11:33:41
-74.0825271606,4.6539506912,2568,11:33:47
-74.0825271606,4.6539506912,2568,11:33:49
-74.0825271606,4.6539506912,2568,11:33:51
-74.0825271606,4.6539506912,2568,11:33:53
-74.0825271606,4.6539506912,2568,11:33:55
-74.0825271606,4.6539506912,2568,11:33:57
-74.0825271606,4.6539506912,2568,11:33:59
